figure,panel,sample_state,temperature_C,quantity,value,unit,provenance
S3,A,unpoled,-30,lambda,1.184,dimensionless,DIGITIZED_SOURCE
S3,A,unpoled,-20,lambda,1.297,dimensionless,DIGITIZED_SOURCE
S3,A,unpoled,-10,lambda,1.401,dimensionless,DIGITIZED_SOURCE
S3,A,unpoled,0,lambda,1.5,dimensionless,DIGITIZED_SOURCE
S3,A,unpoled,10,lambda,1.591,dimensionless,DIGITIZED_SOURCE
S3,A,unpoled,20,lambda,1.675,dimensionless,DIGITIZED_SOURCE
S3,A,unpoled,30,lambda,1.754,dimensionless,DIGITIZED_SOURCE
S3,A,unpoled,40,lambda,1.821,dimensionless,DIGITIZED_SOURCE
S3,A,poled,-30,lambda,1.335,dimensionless,DIGITIZED_SOURCE
S3,A,poled,-20,lambda,1.425,dimensionless,DIGITIZED_SOURCE
S3,A,poled,-10,lambda,1.507,dimensionless,DIGITIZED_SOURCE
S3,A,poled,0,lambda,1.582,dimensionless,DIGITIZED_SOURCE
S3,A,poled,10,lambda,1.652,dimensionless,DIGITIZED_SOURCE
S3,A,poled,20,lambda,1.717,dimensionless,DIGITIZED_SOURCE
S3,A,poled,30,lambda,1.778,dimensionless,DIGITIZED_SOURCE
S3,A,poled,40,lambda,1.835,dimensionless,DIGITIZED_SOURCE
S3,B_l1,unpoled,-30,mu_r,1.11e+03,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,unpoled,-20,mu_r,1.69e+04,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,unpoled,-10,mu_r,1.43e+05,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,unpoled,0,mu_r,7.07e+05,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,unpoled,10,mu_r,2.79e+06,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,unpoled,20,mu_r,8.51e+06,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,unpoled,30,mu_r,1.69e+07,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,unpoled,40,mu_r,2.56e+07,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,unpoled,-30,mu_r,3e+03,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,unpoled,-20,mu_r,4.53e+04,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,unpoled,-10,mu_r,3.96e+05,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,unpoled,0,mu_r,1.89e+06,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,unpoled,10,mu_r,7.65e+06,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,unpoled,20,mu_r,2.25e+07,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,unpoled,30,mu_r,4.58e+07,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,unpoled,40,mu_r,6.77e+07,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,poled,-30,mu_r,825,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,poled,-20,mu_r,1.34e+04,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,poled,-10,mu_r,1.14e+05,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,poled,0,mu_r,5.65e+05,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,poled,10,mu_r,2.15e+06,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,poled,20,mu_r,5.17e+06,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,poled,30,mu_r,1.35e+07,m^2/(V s),DIGITIZED_SOURCE
S3,B_l1,poled,40,mu_r,3.02e+07,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,poled,-30,mu_r,2.21e+03,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,poled,-20,mu_r,3.49e+04,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,poled,-10,mu_r,3.12e+05,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,poled,0,mu_r,1.51e+06,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,poled,10,mu_r,5.76e+06,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,poled,20,mu_r,1.35e+07,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,poled,30,mu_r,3.57e+07,m^2/(V s),DIGITIZED_SOURCE
S3,B_l2,poled,40,mu_r,7.99e+07,m^2/(V s),DIGITIZED_SOURCE
