figure,panels,sample_state,temperature_C,frequency_Hz,epsilon_real,epsilon_loss,digitization_score_real,digitization_score_loss,selection,provenance
Figure2,C/D,poled,10,1995.2623,15.689655,0.67541202,5.0990195,7.6811457,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,10,3981.0717,15.344828,0.82377971,8.0622577,6.78233,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,10,10000,14.827586,1.14696,9.4339811,9,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,10,19952.623,14.137931,1.2726905,3.1622777,5.0990195,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,10,50118.723,13.275862,1.7553074,5.1961524,10.049876,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,10,100000,12.586207,1.9849121,5.7445626,7.1414284,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,10,251188.64,11.149425,2.1007866,5.3851648,0,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,10,501187.23,10.229885,2.0228088,9.4339811,9.8994949,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,10,1258925.4,9.4252874,1.7719847,6.4807407,12.083046,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,10,2511886.4,7.9885057,1.5522622,8.4852814,8.8317609,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,5011.8723,15.862069,0.66275839,2.8284271,8.1240384,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,10000,15.747126,0.82377971,8.3666003,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,25118.864,15,1.1799635,4.2426407,6.78233,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,50118.723,14.310345,1.3343098,3.7416574,5.3851648,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,125892.54,13.390805,1.9849121,7.0710678,10.198039,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,251188.64,12.758621,2.2445504,2.236068,6.78233,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,630957.34,11.551724,2.2874042,8.5440037,7.4833148,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,1258925.4,10.517241,2.2445504,7.4833148,5.8309519,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,3162277.7,8.6206897,1.9112353,6.4807407,7,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,20,6309573.4,7.5862069,1.5376529,5.1961524,4.1231056,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,30,12589.254,16.666667,0.52819296,1,2,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,30,25118.864,16.609195,0.71484099,2,2,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,30,50118.723,16.034483,0.967445,2,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,30,125892.54,15.632184,1.3093119,10,1,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,30,251188.64,14.712644,1.6584887,1,11,ALPHA_WINDOW,DIGITIZED_SOURCE
